"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cote d'Ivoire","CIV","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.90045423794337","11.3158702085088","17.9601458260873","21.0213693249331","22.2415995707271","20.5255049369983","23.6893855262096","24.3133291575335","27.318497736984","32.2141221751077","33.5203134539731","37.1831441978773","",
"Congo, Dem. Rep.","COD","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0182419074989355","0.0541016617694058","0.127824171462579","0.285403302084835","0.508117479830606","0.668123215886672","1.0970934615214","1.46278960470169","3.47725283713405","3.26114598668571","4.75767250074397","9.41895960177679","9.94441385263698","9.71995280916839","9.73831574237014","","","",
"Congo, Rep.","COG","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.701578375264999","2.20879327560449","13.6530476153118","19.9281516660311","21.534223537985","22.6000880351863","23.9850215263739","25.9460367008797","27.5970219724919","24.5962187033365","27.3714373009405",
"Colombia","COL","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.716409834774","115.778620946055","139.438889948913","151.729704097858","159.685153781076","166.53968480199","169.677077444906","188.154747135394","201.894084836609","213.314210648606","220.592196675941","234.808047790535","239.247099880246","240.022606065899","243.202853043491","258.191217938386","246.27010759171","256.191523240275",
"Comoros","COM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7135146962293","7.24175920655015","5.84935368082623","5.68043474189207","5.60821567178932","6.31270659824529","4.54482853601432","8.90730513923499","9.89503850141541","10.8239392063352","9.68181998790324","10.3253838979882","11.4481597507245","13.1766309115315","14.597553826741","14.6164135103589","15.1900882552614","15.8430323365441",
"Cabo Verde","CPV","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6027229095907","89.0065592164957","95.012363264977","100.403124623191","109.398822063224","119.460097940301","124.206782385471","129.768196786631","109.241189300884","105.486753586279","154.129542441328","181.157192946188","183.632766549032","179.185056746532","193.693984471224","208.359261300572","214.688714493645","208.153524418748",
"Costa Rica","CRI","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193.993711442386","207.526385404565","204.726878314704","186.598202869496","191.899090316626","194.844573425364","200.046990100344","208.162838722951","212.68930356955","225.42934165405","240.51759284434","253.474278604338","265.486579420719","265.369750607741","241.779112947796","232.147057209386",
"Caribbean small states","CSS","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389.296789492886","382.214884461103","460.664216270873","365.812425286299","369.51620060361","329.560222991119","325.584372233715",
"Czechia","CZE","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5772891798517","12.5406029953565","16.7086132221661","17.9354647393901","20.1435357516585","48.0935439698513","56.1274312325765","63.771961197355","34.4187785419872","41.2047682439792","23.1590481690433","25.6010330368672","","48.1578998856811",
"Dominica","DMA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.548122615648","126.945265413262","132.04432341268","136.235331009978","136.274644896615","145.104809857216","133.398973132211","147.346065116465","160.887923694075","179.250410208006","192.325523278433","192.513096751306","191.143400501909","207.684793075963","193.939992969405","204.378120977443",
"Algeria","DZA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9151124580174","23.1404910088893","23.1937643853066","27.6131607269104","28.7649844687726","34.7486704138178","34.6000248759623","39.07502643818","42.5768205234409","45.0247555624859","42.5407938138943","44.2419579134212","39.1891699090057","40.638300268749","42.9026155989676","50.2714983383212","46.6894766927549","46.7864723611843",
"East Asia & Pacific (excluding high income)","EAP","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.071353037469","307.874202568563","316.88985494935","323.765293097893","319.782728667968","171.322312893996","168.715431163417","","",
"Early-demographic dividend","EAR","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.5883552398977","42.3293910498595","52.1551619198668","70.7214421020253","70.8446377675034","80.2549938155227","89.216503967341","82.7350658027324","101.343540545381","100.09230000063","92.5276678675068","108.238427096226","103.534654736211","129.718856204614","123.506673796239","130.204186319626","",
"East Asia & Pacific","EAS","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.6492099109685","106.746383190498","87.2865463364768","104.214449247087","124.511975236139","152.063326372249","191.621432520558","222.510113902293","148.098605496066","141.538157433414","144.045586754979","172.750871550316","246.911111063248","328.166854469469","327.219229527844",
"Europe & Central Asia","ECS","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425.193172311619","","",
"Ecuador","ECU","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.120441004818","389.675427773815","224.518641566284","226.284008417259","252.566509080072","270.682254181841","254.992671033843","292.03526684276","236.099227338426","212.728699836488","226.517733945212","221.153685496791","216.068283946686","207.474037072128","205.452294734895","132.855061523766","","",
"Egypt, Arab Rep.","EGY","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0673459416679","37.7593769727606","52.1551619198668","68.0884632276343","69.6320818291255","77.9694608956204","77.2774129220898","77.8753914570477","105.994014860933","100.09230000063","101.347906263302","108.238427096226","103.534654736211","116.907746444763","123.506673796239","123.661870200705","119.492015131437",
"Euro area","EMU","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413.663215489222","418.19077798184","425.193172311619","433.363418834349","434.992115583169",
"Estonia","EST","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","475.612640055561","543.734643084793","545.597669341343","516.421735474312","535.142338800983","519.781629318919","513.057424807524","525.113621325096","531.231196943665","526.023418040934","522.745853455604","557.735352680549","536.051791712569","449.114364651335",
"Ethiopia","ETH","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.20970543380831","1.05769932161354","1.18750484251771","1.65764690467235","1.78934708070397","1.8106580060424","2.10272806591894","","","","","","","","","",
"European Union","EUU","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.90045423794337","11.8936483841805","11.3048384288102","10.5854792610253","17.9473235930195","17.1800751540547","18.1291964367602","23.2057549539748","22.885718184434","","","","",
"Finland","FIN","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7513818443087","15.1057194514871","15.6409710744029","15.7388615570975","16.61645173996","20.3517694259957","25.4830518873713","43.6262043121364","96.6930662298281","","","","","","","","",
"United Kingdom","GBR","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0025015129741","56.9612581696362","57.1409245401591","58.2872267694583","57.4809502021469","52.8695967111449","49.6088786954777","53.6847331451747","59.3306535020147","","","","","","","","","",
